법정동코드	법정동명	폐지여부
4705005001	영주군 안정면 신전동	폐지
4705005002	영주군 안정면 생현동	폐지
4705005003	영주군 안정면 봉암동	폐지
4705005004	영주군 안정면 용산동	폐지
4705005005	영주군 안정면 여륵동	폐지
4705005006	영주군 안정면 묵동	폐지
4705005007	영주군 안정면 내줄동	폐지
4705005008	영주군 안정면 일원동	폐지
4705005009	영주군 안정면 안심동	폐지
4705005010	영주군 안정면 옹암동	폐지
4705005011	영주군 안정면 단촌동	폐지
4705005012	영주군 안정면 대평동	폐지
4705005013	영주군 안정면 오계동	폐지
4705005014	영주군 안정면 동촌동	폐지
4705005015	영주군 안정면 파지동	폐지
4705005016	영주군 안정면 아지동	폐지
4705005500	영주군 봉현면	폐지
4705005501	영주군 봉현면 오현동	폐지
4705005502	영주군 봉현면 두산동	폐지
4705005503	영주군 봉현면 대촌동	폐지
4705005504	영주군 봉현면 한천동	폐지
4705005505	영주군 봉현면 노좌동	폐지
4705005506	영주군 봉현면 유전동	폐지
4705005507	영주군 봉현면 하촌동	폐지
4705006000	영주군 순흥면	폐지
4705006001	영주군 순흥면 읍내리	폐지
4705006002	영주군 순흥면 태장리	폐지
4705006003	영주군 순흥면 지동리	폐지
4705006004	영주군 순흥면 석교리	폐지
4705006005	영주군 순흥면 내죽리	폐지
4705006006	영주군 순흥면 청구리	폐지
4705006007	영주군 순흥면 배점리	폐지
4705006008	영주군 순흥면 덕현리	폐지
4705006500	영주군 단산면	폐지
4705006501	영주군 단산면 옥대리	폐지
4705006502	영주군 단산면 병산리	폐지
4705006503	영주군 단산면 마락리	폐지
4705006504	영주군 단산면 단곡리	폐지
4705006505	영주군 단산면 좌석리	폐지
4705006506	영주군 단산면 동원리	폐지
4705006507	영주군 단산면 사천리	폐지
4705006508	영주군 단산면 구구리	폐지
4705007000	영주군 부석면	폐지
4705007001	영주군 부석면 소천리	폐지
4705007002	영주군 부석면 남대리	폐지
4705007003	영주군 부석면 북지리	폐지
4705007004	영주군 부석면 임곡리	폐지
4705007005	영주군 부석면 노곡리	폐지
4705007006	영주군 부석면 용암리	폐지
4705007007	영주군 부석면 우곡리	폐지
4705007008	영주군 부석면 상석리	폐지
4705007009	영주군 부석면 감곡리	폐지
4705007010	영주군 부석면 보계리	폐지
4705007500	영주군 풍기면	폐지
4705007501	영주군 풍기면 성내리	폐지
4705007502	영주군 풍기면 산법리	폐지
4705007503	영주군 풍기면 미곡리	폐지
4705007504	영주군 풍기면 상가리	폐지
4705007505	영주군 풍기면 욱금리	폐지
4705007506	영주군 풍기면 금계리	폐지
4705007507	영주군 풍기면 교촌리	폐지
4705007508	영주군 풍기면 서부리	폐지
4705007509	영주군 풍기면 백리	폐지
4705007510	영주군 풍기면 백신리	폐지
4705007511	영주군 풍기면 창학리	폐지
4705007512	영주군 풍기면 수천리	폐지
4705007513	영주군 풍기면 전구리	폐지
4705007514	영주군 풍기면 동부리	폐지
4711000000	포항시	존재
4711010100	포항시 대흥동	폐지
4711010200	포항시 신흥동	폐지
4711010300	포항시 상원동	폐지
4711010400	포항시 남빈동	폐지
4711010500	포항시 여천동	폐지
4711010600	포항시 중앙동	폐지
4711010700	포항시 덕산동	폐지
4711010800	포항시 덕수동	폐지
4711010900	포항시 대신동	폐지
4711011000	포항시 동빈1가	폐지
4711011100	포항시 동빈2가	폐지
4711011200	포항시 학산동	폐지
4711011300	포항시 항구동	폐지
4711011400	포항시 상도동	폐지
4711011500	포항시 대도동	폐지
4711011600	포항시 해도동	폐지
4711011700	포항시 송도동	폐지
4711011800	포항시 득량동	폐지
4711011900	포항시 학잠동	폐지
4711012000	포항시 죽도동	폐지
4711012100	포항시 용흥동	폐지
4711012200	포항시 우현동	폐지
4711012300	포항시 창포동	폐지
4711012400	포항시 두호동	폐지
4711012500	포항시 장성동	폐지
4711012600	포항시 양덕동	폐지
4711012700	포항시 환호동	폐지
4711012800	포항시 여남동	폐지
4711012900	포항시 청림동	폐지
4711013000	포항시 송정동	폐지
4711013100	포항시 송내동	폐지
4711013200	포항시 괴동동	폐지
4711013300	포항시 동촌동	폐지
4711013400	포항시 장흥동	폐지
4711013500	포항시 인덕동	폐지
4711013600	포항시 지곡동	폐지
4711013700	포항시 효자동	폐지
4711013800	포항시 대잠동	폐지
4711013900	포항시 이동	폐지
4711014000	포항시 일월동	폐지
4711014100	포항시 호동	폐지
4711090100	포항시 동빈동	폐지
4711090200	포항시 상대1동	폐지
4711090300	포항시 상대2동	폐지
4711090400	포항시 해도1동	폐지
4711090500	포항시 해도2동	폐지
4711090600	포항시 양학동	폐지
4711090700	포항시 죽도1동	폐지
4711090800	포항시 죽도2동	폐지
4711090900	포항시 용흥1동	폐지
4711091000	포항시 용흥2동	폐지
4711091100	포항시 우창동	폐지
4711091200	포항시 장량동	폐지
4711091300	포항시 환여동	폐지
4711091400	포항시 제철동	폐지
4711091500	포항시 효곡동	폐지
4711091600	포항시 대이동	폐지
4711100000	포항시 남구	존재
4711110100	포항시 남구 상도동	존재
4711110200	포항시 남구 대도동	존재
4711110300	포항시 남구 해도동	존재
4711110400	포항시 남구 송도동	존재
4711110500	포항시 남구 청림동	존재
4711110600	포항시 남구 일월동	존재
4711110700	포항시 남구 송정동	존재
4711110800	포항시 남구 송내동	존재
4711110900	포항시 남구 괴동동	존재
4711111000	포항시 남구 동촌동	존재
4711111100	포항시 남구 장흥동	존재
4711111200	포항시 남구 인덕동	존재
4711111300	포항시 남구 호동	존재
4711111400	포항시 남구 효자동	존재
4711111500	포항시 남구 지곡동	존재
4711111600	포항시 남구 대잠동	존재
4711111700	포항시 남구 이동	존재
4711125000	포항시 남구 구룡포읍	존재
4711125021	포항시 남구 구룡포읍 구룡포리	존재
4711125022	포항시 남구 구룡포읍 삼정리	존재
4711125023	포항시 남구 구룡포읍 석병리	존재
4711125024	포항시 남구 구룡포읍 성동리	존재
4711125025	포항시 남구 구룡포읍 구평리	존재
4711125026	포항시 남구 구룡포읍 장길리	존재
4711125027	포항시 남구 구룡포읍 하정리	존재
4711125028	포항시 남구 구룡포읍 병포리	존재
4711125029	포항시 남구 구룡포읍 후동리	존재
4711125030	포항시 남구 구룡포읍 눌태리	존재
4711125300	포항시 남구 연일읍	존재
4711125321	포항시 남구 연일읍 생지리	존재
4711125322	포항시 남구 연일읍 괴정리	존재
4711125323	포항시 남구 연일읍 동문리	존재
4711125324	포항시 남구 연일읍 오천리	존재
4711125325	포항시 남구 연일읍 유강리	존재
4711125326	포항시 남구 연일읍 자명리	존재
4711125327	포항시 남구 연일읍 학전리	존재
4711125328	포항시 남구 연일읍 달전리	존재
4711125329	포항시 남구 연일읍 중명리	존재
4711125330	포항시 남구 연일읍 중단리	존재
4711125331	포항시 남구 연일읍 택전리	존재
4711125332	포항시 남구 연일읍 인주리	존재
4711125333	포항시 남구 연일읍 우복리	존재
4711125600	포항시 남구 오천읍	존재
4711125621	포항시 남구 오천읍 원리	존재
4711125622	포항시 남구 오천읍 문덕리	존재
4711125623	포항시 남구 오천읍 항사리	존재
4711125624	포항시 남구 오천읍 진전리	존재
4711125625	포항시 남구 오천읍 갈평리	존재
4711125626	포항시 남구 오천읍 문충리	존재
4711125627	포항시 남구 오천읍 용산리	존재
4711125628	포항시 남구 오천읍 광명리	존재
4711125629	포항시 남구 오천읍 세계리	존재
4711125630	포항시 남구 오천읍 용덕리	존재
4711125631	포항시 남구 오천읍 구정리	존재
4711131000	포항시 남구 대송면	존재
4711131021	포항시 남구 대송면 공수리	존재
4711131022	포항시 남구 대송면 장동리	존재
4711131023	포항시 남구 대송면 홍계리	존재
4711131024	포항시 남구 대송면 산여리	존재
4711131025	포항시 남구 대송면 대각리	존재
4711131026	포항시 남구 대송면 송동리	존재
4711131027	포항시 남구 대송면 제내리	존재
4711131028	포항시 남구 대송면 옥명리	존재
4711131029	포항시 남구 대송면 남성리	존재
4711132000	포항시 남구 동해면	존재
4711132021	포항시 남구 동해면 도구리	존재
4711132022	포항시 남구 동해면 약전리	존재
4711132023	포항시 남구 동해면 금광리	존재
4711132024	포항시 남구 동해면 신정리	존재
4711132025	포항시 남구 동해면 석리	존재
4711132026	포항시 남구 동해면 임곡리	존재
4711132027	포항시 남구 동해면 입암리	존재
4711132028	포항시 남구 동해면 마산리	존재
4711132029	포항시 남구 동해면 흥환리	존재
4711132030	포항시 남구 동해면 중흥리	존재
4711132031	포항시 남구 동해면 발산리	존재
4711132032	포항시 남구 동해면 상정리	존재
